Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
77611,1890,100,26,0,1790
77612,1942,43,0,0,1899
77613,228,0,0,0,228
77614,184,0,0,0,184
77615,160,0,0,0,160
77616,100,0,0,0,100
77617,15,0,0,0,15
77619,3591,170,80,15,3421
77622,357,17,0,0,340
77623,84,23,20,0,61
77624,157,0,0,0,157
77625,1722,93,41,4,1629
77627,4974,193,0,0,4781
77629,128,0,0,0,128
77630,6182,395,300,25,5787
77632,5674,238,144,102,5436
77640,3521,157,70,5,3364
77642,9398,875,423,42,8523
77650,216,0,0,0,216
77651,2788,104,0,0,2684
77655,78,5,1,0,73
77656,3789,282,150,92,3507
77657,5016,185,39,39,4831
77659,1114,4,0,0,1110
77660,306,59,0,0,247
77661,330,0,0,0,330
77662,6485,427,208,15,6058
77663,91,0,0,0,91
77664,617,24,24,0,593
77665,1272,56,55,55,1216
77701,3390,135,70,35,3255
77702,621,21,0,0,600
77703,3971,163,103,64,3808
77705,7168,464,263,22,6704
77706,6418,356,138,0,6062
77707,4224,342,145,46,3882
77708,3113,236,84,42,2877
77713,3286,101,32,0,3185
